지역합,POS코드,판매점명,주소,총실적,거래점1,실적1,거래점2,실적2,위도,경도
부산 금정구,P962318,오케이에스케이맨2,부산 금정구 서부로 12-1,2,도매직영,2,,0,35.21549046,129.1041809
경북 성주군,P965659,도_일촌(성주),경북 성주군 성주읍 성주로 3233,2,도매직영,2,,0,35.91809831,128.287507
부산 해운대구,P978021,태양통신,부산 해운대구 아랫반송로21번길 78,2,유모스트,2,,0,35.22740088,129.1486593
부산 수영구,P985481,수호텔레콤,부산 수영구 수영로384번길 39,2,유모스트,2,,0,35.13952676,129.108203
대구 북구,P049869,다솔통신,대구 북구 유통단지로 45,1,뉴에이스,1,,0,35.90720316,128.6070187
대구 군위군,P051198,미래정보통신,대구 군위군 의흥면 읍내2길 67-13,1,서부모바일,1,,0,36.179943,128.7204861
경남 창원시,P076605,봉봉모바일(도계점),경남 창원시 의창구 원이대로81번길 6,1,태성,1,,0,35.25568141,128.636707
경남 김해시,P078641,티원 모바일,경남 김해시 진영읍 장등1로 47,1,에스엠,1,,0,35.31433101,128.7399178
대구 달서구,P085234,대경텔레콤,대구 달서구 계대동문로 19,1,가본,1,,0,35.85580554,128.4944003
대구 수성구,P086473,금성통신,대구 수성구 들안로32길 58,1,유안,1,,0,35.84419523,128.6201561
경남 하동군,P094244,휴대폰성지_고래폰 하동점점,경남 하동군 하동읍 시장3길 8,1,에스엠,1,,0,35.0692336,127.7496147
경남 김해시,P102160,다운폰 율하점,경남 김해시 율하2로 114,1,유모스트,1,,0,35.1695919,128.8134089
경북 경주시,P107643,명사정보통신,경북 경주시 북성로 60,1,뉴에이스,1,,0,35.84726917,129.2083804
경남 김해시,P108250,유리모바일,경남 김해시 진영읍 김해대로407번길 22-6,1,에스엠,1,,0,35.30714909,128.7329218
경북 안동시,P114814,폰샵,경북 안동시 문화광장길 52,1,뉴에이스,1,,0,36.56526365,128.7313806
울산 중구,P115710,휴대폰나라,울산 중구 동천5길 50,1,유모스트,1,,0,35.58107354,129.3435901
부산 남구,P118076,모바일마스터(대연점),부산 남구 용소로21번길 114,1,태성,1,,0,35.13784143,129.1056585
부산 북구,P118469,제이엠컴퍼니,부산 북구 만덕대로78번길 28,1,메타,1,,0,35.21086773,129.0136496
경남 김해시,P118701,유니버셜 모빌리티,경남 김해시 가락로86번길 5-8,1,에스엠,1,,0,35.23441553,128.8821022
울산 남구,P122092,옆커폰울산왕생로,울산 남구 왕생로 94,1,태성,1,,0,35.5417767,129.3303687
경북 경산시,P129125,최싸폰_신대점,경북 경산시 압량읍 압독4로1길 42,1,에스엠,1,,0,35.83840651,128.766369
부산 중구,P132534,미&상 모바일,부산 중구 흑교로 44,1,메타,1,,0,35.10339409,129.0253731
울산 남구,P136005,K2정보통신,울산 남구 문수로 351,1,에스엠,1,,0,35.53498992,129.2922815
대구 남구,P141569,옆커폰남구계대,대구 남구 현충로 242-1,1,태성,1,,0,35.85401892,128.5833587
경북 구미시,P143620,미나통신,경북 구미시 인동19길 16-15,1,뉴에이스,1,,0,36.09872874,128.4289635
경남 진주시,P148841,갤럭시SM_상대,경남 진주시 동진로 190,1,태성,1,,0,35.17953315,128.1119171
경북 경산시,P151029,옆커폰정평역,경북 경산시 대학로 28,1,태성,1,,0,35.83435487,128.7257302
대구 북구,P152024,휴대폰성지 올영폰 고성점,대구 북구 칠성남로 55-2,1,수인,1,,0,35.87947174,128.5867671
부산 북구,P162969,빵다통신,부산 북구 백양대로 1158,1,유모스트,1,,0,35.20573224,129.0047046
경남 밀양시,P166332,나로텔레콤,경남 밀양시 약산로 43-1,1,도매직영,1,,0,35.49293102,128.7496367
경남 통영시,P166471,프로포즈 폰이랑 포토랑,경남 통영시 항남4길 2,1,도매직영,1,,0,34.84198416,128.421121
